DATA;CO_ID;CL_ID;CL_GENERO;CL_EC;CL_FHL;CL_SEG;PR_ID;PR_CAT;PR_NOME
2019-01-02;1078;290;F;1;0;B;25;ALIMENTOS;CORACAO DE FRANGO
2019-01-02;1078;290;F;1;0;B;180;ALIMENTOS;LEITE
2019-01-02;1078;290;F;1;0;B;106;LIMPEZA;ODORIZADOR
2019-01-02;1078;290;F;1;0;B;173;ALIMENTOS;LINGUICA
2019-01-02;1078;290;F;1;0;B;137;ALIMENTOS;REQUEIJAO
2019-01-02;1078;290;F;1;0;B;191;HIGIENE;FRALDA
2019-01-02;1078;290;F;1;0;B;5;ALIMENTOS;ACHOCOLATADO
2019-01-02;1078;290;F;1;0;B;49;ALIMENTOS;PALMITO
2019-01-02;1078;290;F;1;0;B;17;ALIMENTOS;BISCOITO
2019-01-02;1078;290;F;1;0;B;76;HIGIENE;FIO DENTAL
